dpe_classe,ges_classe,type_energie,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,latitude,longitude,source_type
C,C,individuel,59.9,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,57.9,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,80.3,68.5,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,73.1,44.2,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,72.6,60.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,75.7,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,collectif,114,NA,NA,immeuble,69,69008,6516855.34,846157.48,Neuf
C,C,individuel,80.6,60.4,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,77,126.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,77.8,90.8,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,68.4,38.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,79.9,42.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,74.9,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,93.9,66.5,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,76.5,42.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,73.2,44,NA,appartement,69,69008,6516710.92,844533.36,Neuf
D,B,individuel,102.7,32,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,A,individuel,76,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,77.2,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,76,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,59,43.2,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,78.2,22.8,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,52.8,86.8,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,80.6,63.6,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,57.1,86.6,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,55.1,83,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,62.8,63.4,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,70.4,60.2,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,62.8,63.4,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,67.9,63.2,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,91.8,78.1,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,71,42,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,70,76.6,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,79.5,100.5,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,68.7,63.4,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,70.4,60.2,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,55.1,83,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,60.5,82.6,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,55.9,42.8,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,76.4,60,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,60.9,83,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,55,27.1,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,A,individuel,56.2,39.2,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,83.4,48,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,78.1,42.3,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,53.2,79.4,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,62,46.7,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,84.8,42.3,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,80.4,110.8,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,63.3,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,79.3,42.3,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,81.5,40.5,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,53.2,79.4,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,,58.2,920.1,NA,immeuble,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,78.1,42.3,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,60.5,47,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,54.6,100.8,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,54,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,54,62.9,NA,appartement,69,69008,6516486.14,844077.28,Neuf
